Construction,Area_in_Sqft,Price,Owner_info,Locality,BHK,Price_per_sqft
Under Construction,1000, 42 L,OWNER,Mokila,2,"4,200 / sq ft"
Ready to move,1337, 76 L,OWNER,Miyapur,3,"5,684 / sq ft"
Ready to move,1230, 87 L,OWNER,Manikonda,2,"7,073 / sq ft"
Under Construction,2000, 1.2 Cr,OWNER,Bahadurpally,3,"6,000 / sq ft"
Under Construction,3000, 1.9 Cr,OWNER,Kollur,3,"6,333 / sq ft"
Ready to move,2540, 2.2 Cr,OWNER,Manikonda,3,"8,661 / sq ft"
Ready to move,1175, 50 L,OWNER,Hastinapuram,2,"4,255 / sq ft"
Under Construction,1025, 62.37 L,AGENT,Aushapur,3,"6,085 / sq ft"
Under Construction,2600, 80 L,OWNER,Mokila,2,"3,076 / sq ft"
Under Construction,1100, 69 L,OWNER,Nagole,2,"6,272 / sq ft"
Ready to move,1800, 77.99 L,OWNER,Indresham,4,"4,333 / sq ft"
Under Construction,1230, 82.41 L,OWNER,Puppalaguda,2,"6,700 / sq ft"
Under Construction,1450, 1.03 Cr,OWNER,Madhapur,3,"7,103 / sq ft"
Ready to move,5400, 2.9 Cr,OWNER,Saidabad,9,"5,370 / sq ft"
Under Construction,2300, 1.12 Cr,OWNER,Sainikpuri,6,"4,869 / sq ft"
Under Construction,1665, 66.27 L,OWNER,Kollur,3,"3,980 / sq ft"
Ready to move,1350, 2.5 Cr,OWNER,Chandanagar,2,"18,518 / sq ft"
Under Construction,1585, 42.77 L,OWNER,muthangi,3,"2,699 / sq ft"
Ready to move,1200, 60 L,OWNER,Ramachandra Puram,2,"5,000 / sq ft"
Ready to move,1168, 59 L,OWNER,Mallapur,2,"5,051 / sq ft"
Ready to move,9468, 3.5 Cr,OWNER,Mehdipatnam,10,"3,696 / sq ft"
Ready to move,1285, 55 L,OWNER,Gajularamaram,2,"4,280 / sq ft"
Under Construction,1100, 40 L,OWNER,Kompally,2,"3,636 / sq ft"
Under Construction,1205, 42.17 L,OWNER,Chandanagar Vill,3,"3,500 / sq ft"
Resale,1089, 5.56 L,OWNER,Shamshabad,Residential Plot,511 / sq ft
Under Construction,2200, 78 L,OWNER,Kundanpally,4,"3,545 / sq ft"
Ready to move,1655, 1.2 Cr,OWNER,Narsingi,3,"7,250 / sq ft"
Ready to move,1800, 1.2 Cr,OWNER,Kukatpally,3,"6,666 / sq ft"
Ready to move,1300, 70 L,OWNER,Manikonda,2,"5,384 / sq ft"
Ready to move,756, 1.4 Cr,OWNER,Jubilee Hills,3,"18,518 / sq ft"
Ready to move,2414, 2.9 Cr,OWNER,Banjara Hills,6,"12,013 / sq ft"
Ready to move,1705, 59 L,OWNER,Nizampet,3,"3,460 / sq ft"
Ready to move,1136, 45 L,OWNER,Shadnagar,2,"3,961 / sq ft"
Ready to move,5740, 6 Cr,OWNER,Nallagandla Gachibowli,6,"10,452 / sq ft"
Ready to move,935, 45 L,OWNER,Amberpet,2,"4,812 / sq ft"
Ready to move,1602, 1.1 Cr,OWNER,Banjara Hills,3,"6,866 / sq ft"
Resale,1314, 11.26 L,OWNER,Shadnagar,Residential Plot,856 / sq ft
Resale,900, 30 L,OWNER,chandrayangutta,Residential Plot,"3,333 / sq ft"
Resale,1503, 44 L,OWNER,Medchal,Residential Plot,"2,927 / sq ft"
Ready to move,1290, 64.7 L,OWNER,Puppalaguda,2,"5,015 / sq ft"
Ready to move,4400, 2.5 Cr,OWNER,Kothapet,5,"5,681 / sq ft"
Ready to move,1332, 93 L,OWNER,Bandlaguda Jagir,3,"6,981 / sq ft"
Ready to move,830, 38 L,OWNER,Serilingampally,2,"4,578 / sq ft"
Ready to move,3000, 1.31 Cr,OWNER,AS Rao Nagar,3,"4,366 / sq ft"
Under Construction,1300, 60 L,OWNER,Pasumamula,2,"4,615 / sq ft"
Ready to move,1360, 1.29 Cr,OWNER,Madhapur,2,"9,485 / sq ft"
Ready to move,900, 45 L,OWNER,Kishan Bagh,3,"5,000 / sq ft"
Under Construction,1800, 1 Cr,OWNER,Kondakal,4,"5,555 / sq ft"
Under Construction,2208, 1.28 Cr,AGENT,Tellapur,3,"5,800 / sq ft"
Under Construction,3569, 2.07 Cr,AGENT,Tellapur,3,"5,800 / sq ft"
Under Construction,2132, 1.17 Cr,AGENT,Tellapur,3,"5,500 / sq ft"
Under Construction,2132, 1 Cr,AGENT,Tellapur,3,"4,700 / sq ft"
Under Construction,1000, 42 L,OWNER,Mokila,2,"4,200 / sq ft"
Under Construction,1000, 48 L,OWNER,Mokila,2,"4,800 / sq ft"
Under Construction,2600, 95 L,OWNER,Mokila,3,"3,653 / sq ft"
Ready to move,1230, 87 L,OWNER,Manikonda,2,"7,073 / sq ft"
Under Construction,2600, 95 L,OWNER,Mokila,3,"3,653 / sq ft"
Under Construction,2000, 1.2 Cr,OWNER,Bahadurpally,3,"6,000 / sq ft"
Under Construction,2000, 1.2 Cr,OWNER,Bahadurpally,3,"6,000 / sq ft"
Under Construction,2000, 1.2 Cr,OWNER,Bahadurpally,3,"6,000 / sq ft"
Under Construction,2000, 1.2 Cr,OWNER,Bahadurpally,3,"6,000 / sq ft"
Ready to move,1000, 38 L,OWNER,Gandi Maisamma,2,"3,800 / sq ft"
Under Construction,1150, 69.25 L,AGENT,Aushapur,3,"6,021 / sq ft"
Under Construction,1275, 76.12 L,AGENT,Aushapur,3,"5,970 / sq ft"
Under Construction,2600, 80 L,OWNER,Mokila,2,"3,076 / sq ft"
Under Construction,2600, 80 L,OWNER,Mokila,2,"3,076 / sq ft"
Ready to move,2540, 2.2 Cr,OWNER,Manikonda,3,"8,661 / sq ft"
Under Construction,2600, 80 L,OWNER,Mokila,2,"3,076 / sq ft"
Under Construction,2600, 80 L,OWNER,Mokila,2,"3,076 / sq ft"
Under Construction,2600, 80 L,OWNER,Mokila,2,"3,076 / sq ft"
Under Construction,2600, 80 L,OWNER,Mokila,2,"3,076 / sq ft"
Under Construction,2600, 80 L,OWNER,Mokila,2,"3,076 / sq ft"
Under Construction,2600, 80 L,OWNER,Mokila,2,"3,076 / sq ft"
Under Construction,2600, 80 L,OWNER,Mokila,2,"3,076 / sq ft"
Under Construction,2600, 80 L,OWNER,Mokila,2,"3,076 / sq ft"
Ready to move,1800, 77.99 L,OWNER,Indresham,4,"4,333 / sq ft"
Ready to move,1800, 77.99 L,OWNER,Indresham,4,"4,333 / sq ft"
Ready to move,1800, 77.99 L,OWNER,Indresham,4,"4,333 / sq ft"
Ready to move,1800, 77.99 L,OWNER,Indresham,4,"4,333 / sq ft"
Ready to move,1800, 77.99 L,OWNER,Indresham,4,"4,333 / sq ft"
Ready to move,1800, 77.99 L,OWNER,Indresham,4,"4,333 / sq ft"
Ready to move,1800, 77.99 L,OWNER,Indresham,4,"4,333 / sq ft"
Ready to move,1800, 77.99 L,OWNER,Indresham,4,"4,333 / sq ft"
Ready to move,1800, 77.99 L,OWNER,Indresham,4,"4,333 / sq ft"
Ready to move,1800, 77.99 L,OWNER,Indresham,4,"4,333 / sq ft"
Under Construction,1230, 82.41 L,OWNER,Puppalaguda,2,"6,700 / sq ft"
Ready to move,5400, 2.9 Cr,OWNER,Saidabad,9,"5,370 / sq ft"
Under Construction,2300, 1.12 Cr,OWNER,Sainikpuri,6,"4,869 / sq ft"
Under Construction,1450, 1.03 Cr,OWNER,Madhapur,3,"7,103 / sq ft"
Under Construction,1450, 1.03 Cr,OWNER,Madhapur,3,"7,103 / sq ft"
Under Construction,1450, 98 L,OWNER,Madhapur,3,"6,758 / sq ft"
Ready to move,5400, 2.9 Cr,OWNER,Saidabad,9,"5,370 / sq ft"
Ready to move,5400, 2.9 Cr,OWNER,Saidabad,9,"5,370 / sq ft"
Under Construction,1665, 66.27 L,OWNER,Kollur,3,"3,980 / sq ft"
Under Construction,1665, 66.27 L,OWNER,Kollur,3,"3,980 / sq ft"
Under Construction,1665, 66.27 L,OWNER,Kollur,3,"3,980 / sq ft"
Under Construction,1250, 50 L,OWNER,Kollur,2,"4,000 / sq ft"
Under Construction,1250, 50 L,OWNER,Kollur,2,"4,000 / sq ft"
Under Construction,1250, 50 L,OWNER,Kollur,2,"4,000 / sq ft"
Under Construction,1250, 50 L,OWNER,Kollur,2,"4,000 / sq ft"
Under Construction,1665, 66.27 L,OWNER,Kollur,3,"3,980 / sq ft"
Under Construction,1230, 82.41 L,OWNER,Puppalaguda,2,"6,700 / sq ft"
Ready to move,2200, 1.2 Cr,OWNER,Bahadurpally,3,"5,454 / sq ft"
Ready to move,2200, 1.2 Cr,OWNER,Bahadurpally,3,"5,454 / sq ft"
Under Construction,1230, 82.41 L,OWNER,Puppalaguda,2,"6,700 / sq ft"
Ready to move,1820, 74.99 L,OWNER,Patancheru,4,"4,120 / sq ft"
Resale,1089, 5.56 L,OWNER,Shamshabad,Residential Plot,511 / sq ft
Resale,1089, 5.56 L,OWNER,Shamshabad,Residential Plot,511 / sq ft
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1040, 38 L,OWNER,Chandanagar Vill,2,"3,653 / sq ft"
Under Construction,1040, 38 L,OWNER,Chandanagar Vill,2,"3,653 / sq ft"
Under Construction,1040, 38 L,OWNER,Chandanagar Vill,2,"3,653 / sq ft"
Under Construction,1040, 38 L,OWNER,Chandanagar Vill,2,"3,653 / sq ft"
Under Construction,1040, 38 L,OWNER,Chandanagar Vill,2,"3,653 / sq ft"
Under Construction,1040, 38 L,OWNER,Chandanagar Vill,2,"3,653 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Ready to move,1300, 70 L,OWNER,Manikonda,2,"5,384 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1560, 36 L,OWNER,muthangi,3,"2,307 / sq ft"
Under Construction,1560, 36 L,OWNER,muthangi,3,"2,307 / sq ft"
Under Construction,1560, 36 L,OWNER,muthangi,3,"2,307 / sq ft"
Under Construction,1560, 36 L,OWNER,muthangi,3,"2,307 / sq ft"
Under Construction,1520, 36 L,OWNER,muthangi,3,"2,368 / sq ft"
Under Construction,1020, 36 L,OWNER,Miyapur,2,"3,529 / sq ft"
Under Construction,1020, 36 L,OWNER,Miyapur,2,"3,529 / sq ft"
Under Construction,1020, 36 L,OWNER,Miyapur,2,"3,529 / sq ft"
Under Construction,1520, 36 L,OWNER,muthangi,3,"2,368 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1020, 36 L,OWNER,Miyapur,2,"3,529 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1520, 36 L,OWNER,muthangi,3,"2,368 / sq ft"
Under Construction,1560, 36 L,OWNER,muthangi,3,"2,307 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1360, 47.6 L,OWNER,Miyapur,3,"3,500 / sq ft"
Under Construction,1360, 47.6 L,OWNER,Miyapur,3,"3,500 / sq ft"
Under Construction,1040, 36 L,OWNER,Miyapur,2,"3,461 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1560, 36 L,OWNER,muthangi,3,"2,307 / sq ft"
Under Construction,1560, 36 L,OWNER,muthangi,3,"2,307 / sq ft"
Under Construction,1560, 36 L,OWNER,muthangi,3,"2,307 / sq ft"
Under Construction,1560, 36 L,OWNER,muthangi,3,"2,307 / sq ft"
Under Construction,1520, 36 L,OWNER,muthangi,3,"2,368 / sq ft"
Under Construction,1020, 36 L,OWNER,Miyapur,2,"3,529 / sq ft"
Under Construction,1020, 36 L,OWNER,Miyapur,2,"3,529 / sq ft"
Under Construction,1020, 36 L,OWNER,Miyapur,2,"3,529 / sq ft"
Under Construction,1020, 36 L,OWNER,Miyapur,2,"3,529 / sq ft"
Under Construction,1520, 36 L,OWNER,muthangi,3,"2,368 / sq ft"
Under Construction,1560, 36 L,OWNER,muthangi,3,"2,307 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1560, 36 L,OWNER,muthangi,3,"2,307 / sq ft"
Under Construction,1560, 36 L,OWNER,muthangi,3,"2,307 / sq ft"
Under Construction,1040, 36 L,OWNER,Miyapur,2,"3,461 / sq ft"
Ready to move,1300, 70 L,OWNER,Manikonda,2,"5,384 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1520, 36 L,OWNER,muthangi,3,"2,368 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1040, 38 L,OWNER,Chandanagar Vill,2,"3,653 / sq ft"
Under Construction,1040, 38 L,OWNER,Chandanagar Vill,2,"3,653 / sq ft"
Under Construction,1040, 38 L,OWNER,Chandanagar Vill,2,"3,653 / sq ft"
Under Construction,1040, 38 L,OWNER,Chandanagar Vill,2,"3,653 / sq ft"
Under Construction,1040, 38 L,OWNER,Chandanagar Vill,2,"3,653 / sq ft"
Under Construction,1040, 38 L,OWNER,Chandanagar Vill,2,"3,653 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1020, 36 L,OWNER,Miyapur,2,"3,529 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 36 L,OWNER,Miyapur,2,"3,130 / sq ft"
Under Construction,1150, 36 L,OWNER,Miyapur,2,"3,130 / sq ft"
Under Construction,1150, 36 L,OWNER,Miyapur,2,"3,130 / sq ft"
Under Construction,1150, 36 L,OWNER,Miyapur,2,"3,130 / sq ft"
Under Construction,1150, 36 L,OWNER,Miyapur,2,"3,130 / sq ft"
Under Construction,1150, 36 L,OWNER,Miyapur,2,"3,130 / sq ft"
Under Construction,1150, 36 L,OWNER,Miyapur,2,"3,130 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 36 L,OWNER,Miyapur,2,"3,130 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1040, 34 L,OWNER,Miyapur,2,"3,269 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1040, 38 L,OWNER,Chandanagar Vill,2,"3,653 / sq ft"
Under Construction,1150, 36 L,OWNER,Miyapur,2,"3,130 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1040, 34 L,OWNER,Miyapur,2,"3,269 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1040, 38 L,OWNER,Chandanagar Vill,2,"3,653 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1150, 36 L,OWNER,Miyapur,2,"3,130 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1020, 35.7 L,OWNER,Miyapur,2,"3,500 / sq ft"
Under Construction,1560, 54.6 L,OWNER,Miyapur,3,"3,500 / sq ft"
Under Construction,1050, 44 L,OWNER,Miyapur,2,"4,190 / sq ft"
Under Construction,1560, 35 L,OWNER,muthangi,2,"2,243 / sq ft"
Under Construction,1560, 35 L,OWNER,muthangi,2,"2,243 / sq ft"
Under Construction,1560, 35 L,OWNER,muthangi,2,"2,243 / sq ft"
Under Construction,1040, 38 L,OWNER,Chandanagar Vill,2,"3,653 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1040, 38 L,OWNER,Chandanagar Vill,2,"3,653 / sq ft"
Under Construction,1520, 36 L,OWNER,muthangi,3,"2,368 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1040, 38 L,OWNER,Chandanagar Vill,2,"3,653 / sq ft"
Under Construction,1040, 38 L,OWNER,Chandanagar Vill,2,"3,653 / sq ft"
Under Construction,1040, 38 L,OWNER,Chandanagar Vill,2,"3,653 / sq ft"
Under Construction,1040, 38 L,OWNER,Chandanagar Vill,2,"3,653 / sq ft"
Under Construction,1040, 38 L,OWNER,Chandanagar Vill,2,"3,653 / sq ft"
Under Construction,1040, 38 L,OWNER,Chandanagar Vill,2,"3,653 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1150, 26 L,OWNER,muthangi,2,"2,260 / sq ft"
Under Construction,1560, 35 L,OWNER,muthangi,2,"2,243 / sq ft"
Under Construction,1260, 44 L,OWNER,Chandanagar,3,"3,492 / sq ft"
Under Construction,1020, 36 L,OWNER,Chandanagar,2,"3,529 / sq ft"
Under Construction,1020, 36 L,OWNER,Chandanagar,2,"3,529 / sq ft"
Under Construction,1020, 36 L,OWNER,Chandanagar,2,"3,529 / sq ft"
Under Construction,1020, 36 L,OWNER,Chandanagar,2,"3,529 / sq ft"
Under Construction,1020, 36 L,OWNER,Chandanagar,2,"3,529 / sq ft"
Under Construction,1240, 43.4 L,OWNER,Miyapur,3,"3,500 / sq ft"
Under Construction,1240, 43.4 L,OWNER,Miyapur,3,"3,500 / sq ft"
Under Construction,1240, 43.4 L,OWNER,Miyapur,3,"3,500 / sq ft"
Under Construction,1240, 43.4 L,OWNER,Miyapur,3,"3,500 / sq ft"
Under Construction,1240, 43.4 L,OWNER,Miyapur,3,"3,500 / sq ft"
Under Construction,1260, 44 L,OWNER,Chandanagar,3,"3,492 / sq ft"
Under Construction,1260, 44 L,OWNER,Chandanagar,3,"3,492 / sq ft"
Under Construction,1020, 36 L,OWNER,Chandanagar,2,"3,529 / sq ft"
Under Construction,1260, 44 L,OWNER,Chandanagar,3,"3,492 / sq ft"
Under Construction,1020, 36 L,OWNER,Chandanagar,2,"3,529 / sq ft"
Under Construction,1260, 44 L,OWNER,Chandanagar,3,"3,492 / sq ft"
Under Construction,1020, 36 L,OWNER,Chandanagar,2,"3,529 / sq ft"
Under Construction,1060, 38 L,OWNER,Miyapur,2,"3,584 / sq ft"
Under Construction,1040, 38 L,OWNER,Miyapur,2,"3,653 / sq ft"
Under Construction,1060, 38 L,OWNER,Miyapur,2,"3,584 / sq ft"
Under Construction,1060, 38 L,OWNER,Miyapur,2,"3,584 / sq ft"
Under Construction,1040, 37 L,OWNER,Chandanagar,3,"3,557 / sq ft"
Under Construction,1040, 38 L,OWNER,Miyapur,2,"3,653 / sq ft"
Under Construction,1040, 38 L,OWNER,Miyapur,2,"3,653 / sq ft"
Under Construction,1060, 38 L,OWNER,Miyapur,2,"3,584 / sq ft"
Under Construction,1040, 38 L,OWNER,Miyapur,2,"3,653 / sq ft"
Under Construction,1040, 38 L,OWNER,Miyapur,2,"3,653 / sq ft"
Under Construction,1060, 38 L,OWNER,Miyapur,2,"3,584 / sq ft"
Under Construction,1040, 38 L,OWNER,Miyapur,2,"3,653 / sq ft"
Under Construction,1060, 38 L,OWNER,Miyapur,2,"3,584 / sq ft"
Under Construction,1040, 38 L,OWNER,Miyapur,2,"3,653 / sq ft"
Under Construction,1040, 38 L,OWNER,Miyapur,2,"3,653 / sq ft"
Under Construction,1020, 36 L,OWNER,Miyapur,2,"3,529 / sq ft"
Under Construction,1240, 44 L,OWNER,Chandanagar,3,"3,548 / sq ft"
Under Construction,1020, 36 L,OWNER,Miyapur,2,"3,529 / sq ft"
Under Construction,1060, 38 L,OWNER,Miyapur,2,"3,584 / sq ft"
Under Construction,1040, 38 L,OWNER,Miyapur,2,"3,653 / sq ft"
Under Construction,1040, 38 L,OWNER,Miyapur,2,"3,653 / sq ft"
